PS,PW,MM,theta,t-color,t-in,t-out,IM,NC,K,p-shuf,max-iters,eps,a,g,seed,num_episodes,mean_total_reward,mean_steps_river,mean_path_length,mean_wallclock_time,mean20_total_reward,mean20_steps_river,mean20_path_length,mean20_wallclock_time
0.0,0.0,MCAR,0.05,,,,joint-conservative,1.0,10.0,0.0,50000.0,0.05,0.0,0.0,0,9,-7583.222222222223,386.77777777777777,4203.222222222223,340.0066055191888,-7583.222222222223,386.77777777777777,4203.222222222223,340.0066055191888
0.0,0.0,MCAR,0.05,,,,joint-conservative,1.0,10.0,0.0,50000.0,0.05,0.0,0.0,1,12,-8795.666666666666,527.0833333333334,4152.916666666667,341.6897429227829,-8795.666666666666,527.0833333333334,4152.916666666667,341.6897429227829
0.0,0.0,MCAR,0.05,,,,joint-conservative,1.0,10.0,0.0,50000.0,0.05,0.0,0.0,2,14,-7456.857142857143,452.2142857142857,3487.9285714285716,271.6809903723853,-7456.857142857143,452.2142857142857,3487.9285714285716,271.6809903723853
0.0,0.0,MCAR,0.05,,,,joint-conservative,1.0,10.0,0.0,50000.0,0.05,0.0,0.5,0,9,-7583.222222222223,386.77777777777777,4203.222222222223,327.07436701986524,-7583.222222222223,386.77777777777777,4203.222222222223,327.07436701986524
0.0,0.0,MCAR,0.05,,,,joint-conservative,1.0,10.0,0.0,50000.0,0.05,0.0,0.5,1,12,-8795.666666666666,527.0833333333334,4152.916666666667,321.79882713158923,-8795.666666666666,527.0833333333334,4152.916666666667,321.79882713158923
0.0,0.0,MCAR,0.05,,,,joint-conservative,1.0,10.0,0.0,50000.0,0.05,0.0,0.5,2,14,-7456.857142857143,452.2142857142857,3487.9285714285716,267.7200324194772,-7456.857142857143,452.2142857142857,3487.9285714285716,267.7200324194772
0.0,0.0,MCAR,0.05,,,,joint-conservative,1.0,10.0,0.0,50000.0,0.05,0.0,1.0,0,9,-7583.222222222223,386.77777777777777,4203.222222222223,325.76273412174646,-7583.222222222223,386.77777777777777,4203.222222222223,325.76273412174646
0.0,0.0,MCAR,0.05,,,,joint-conservative,1.0,10.0,0.0,50000.0,0.05,0.0,1.0,1,12,-8795.666666666666,527.0833333333334,4152.916666666667,323.6721537510554,-8795.666666666666,527.0833333333334,4152.916666666667,323.6721537510554
0.0,0.0,MCAR,0.05,,,,joint-conservative,1.0,10.0,0.0,50000.0,0.05,0.0,1.0,2,14,-7456.857142857143,452.2142857142857,3487.9285714285716,269.49533482960294,-7456.857142857143,452.2142857142857,3487.9285714285716,269.49533482960294
0.0,0.0,MCAR,0.05,,,,joint-conservative,1.0,10.0,0.0,50000.0,0.05,1.0,0.0,0,69,-607.463768115942,2.5217391304347827,685.768115942029,53.88475129224252,-1158.4,3.05,1231.95,96.54315240383148
