total_reward,steps_river,path_length,counts_0miss,counts_1miss,counts_2miss,counts_3miss,wall_clock_time
-176.0,7.0,214.0,214.0,0.0,0.0,0.0,2.2911863327026367
-103.0,11.0,105.0,105.0,0.0,0.0,0.0,1.1139750480651855
-38.0,1.0,130.0,130.0,0.0,0.0,0.0,1.3789148330688477
11.0,5.0,45.0,45.0,0.0,0.0,0.0,0.4790630340576172
31.0,6.0,16.0,16.0,0.0,0.0,0.0,0.17080903053283691
-37.0,12.0,30.0,30.0,0.0,0.0,0.0,0.3294808864593506
-5.0,6.0,52.0,52.0,0.0,0.0,0.0,0.5528383255004883
66.0,2.0,17.0,17.0,0.0,0.0,0.0,0.18046998977661133
7.0,3.0,67.0,67.0,0.0,0.0,0.0,0.7124631404876709
68.0,2.0,15.0,15.0,0.0,0.0,0.0,0.1586611270904541
7.0,7.0,31.0,31.0,0.0,0.0,0.0,0.3286588191986084
45.0,4.0,20.0,20.0,0.0,0.0,0.0,0.21273398399353027
70.0,1.0,22.0,22.0,0.0,0.0,0.0,0.25354981422424316
82.0,1.0,10.0,10.0,0.0,0.0,0.0,0.10724401473999023
-2886.0,197.0,1214.0,1214.0,0.0,0.0,0.0,13.130078077316284
-1004.0,70.0,475.0,475.0,0.0,0.0,0.0,5.196170091629028
-2589.0,174.0,1124.0,1124.0,0.0,0.0,0.0,12.294777154922485
52.0,2.0,31.0,31.0,0.0,0.0,0.0,0.34071922302246094
11.0,4.0,54.0,54.0,0.0,0.0,0.0,0.592181921005249
-554.0,29.0,394.0,394.0,0.0,0.0,0.0,4.317263126373291
-108.0,11.0,110.0,110.0,0.0,0.0,0.0,1.217966079711914
44.0,0.0,57.0,57.0,0.0,0.0,0.0,0.6302430629730225
63.0,2.0,20.0,20.0,0.0,0.0,0.0,0.22132515907287598
-59.0,10.0,70.0,70.0,0.0,0.0,0.0,0.7738370895385742
3.0,6.0,44.0,44.0,0.0,0.0,0.0,0.48888611793518066
-33.0,1.0,125.0,125.0,0.0,0.0,0.0,1.3860490322113037
61.0,3.0,13.0,13.0,0.0,0.0,0.0,0.14357209205627441
-395.0,35.0,181.0,181.0,0.0,0.0,0.0,2.004070997238159
69.0,2.0,14.0,14.0,0.0,0.0,0.0,0.15625786781311035
-407.0,38.0,166.0,166.0,0.0,0.0,0.0,1.85493803024292
52.0,1.0,40.0,40.0,0.0,0.0,0.0,0.4440498352050781
-659.0,57.0,247.0,247.0,0.0,0.0,0.0,2.741464138031006
51.0,4.0,14.0,14.0,0.0,0.0,0.0,0.15535211563110352
-642.0,58.0,221.0,221.0,0.0,0.0,0.0,2.4418506622314453
-176.0,23.0,70.0,70.0,0.0,0.0,0.0,0.7733550071716309
-229.0,27.0,87.0,87.0,0.0,0.0,0.0,0.9602820873260498
-92.0,4.0,157.0,157.0,0.0,0.0,0.0,1.7335796356201172
-904.0,68.0,393.0,393.0,0.0,0.0,0.0,4.355154037475586
-1092.0,55.0,698.0,698.0,0.0,0.0,0.0,7.735119104385376
-264.0,34.0,59.0,59.0,0.0,0.0,0.0,0.6562750339508057
-595.0,44.0,300.0,300.0,0.0,0.0,0.0,3.336470127105713
-1259.0,86.0,586.0,586.0,0.0,0.0,0.0,6.487497806549072
-195.0,16.0,152.0,152.0,0.0,0.0,0.0,1.68697190284729
-1612.0,117.0,660.0,660.0,0.0,0.0,0.0,7.3500659465789795
43.0,2.0,40.0,40.0,0.0,0.0,0.0,0.4448368549346924
-1188.0,64.0,713.0,713.0,0.0,0.0,0.0,7.905139207839966
-43.0,8.0,72.0,72.0,0.0,0.0,0.0,0.7994821071624756
-109.0,13.0,93.0,93.0,0.0,0.0,0.0,1.0330359935760498
-213.0,23.0,107.0,107.0,0.0,0.0,0.0,1.1895031929016113
-928.0,67.0,426.0,426.0,0.0,0.0,0.0,4.742128133773804
80.0,1.0,12.0,12.0,0.0,0.0,0.0,0.1394209861755371
8.0,7.0,30.0,30.0,0.0,0.0,0.0,0.3339500427246094
-19.0,6.0,66.0,66.0,0.0,0.0,0.0,0.7336821556091309
-547.0,43.0,261.0,261.0,0.0,0.0,0.0,2.8956518173217773
-200.0,21.0,112.0,112.0,0.0,0.0,0.0,1.241581678390503
-1676.0,116.0,733.0,733.0,0.0,0.0,0.0,8.147549867630005
-195.0,16.0,152.0,152.0,0.0,0.0,0.0,1.683581829071045
-1323.0,86.0,650.0,650.0,0.0,0.0,0.0,7.21947717666626
-226.0,14.0,201.0,201.0,0.0,0.0,0.0,2.2409448623657227
72.0,2.0,11.0,11.0,0.0,0.0,0.0,0.12619900703430176
