total_reward,steps_river,path_length,counts_0miss,counts_1miss,counts_2miss,counts_3miss,wall_clock_time
-306.0,4.0,371.0,153.0,80.0,106.0,32.0,3.9130520820617676
-58.0,11.0,60.0,47.0,4.0,7.0,2.0,0.6320381164550781
-253.0,33.0,57.0,57.0,0.0,0.0,0.0,0.602301836013794
-38.0,10.0,49.0,49.0,0.0,0.0,0.0,0.5205528736114502
59.0,3.0,15.0,15.0,0.0,0.0,0.0,0.15943121910095215
71.0,2.0,12.0,12.0,0.0,0.0,0.0,0.12765908241271973
82.0,1.0,10.0,10.0,0.0,0.0,0.0,0.10611081123352051
71.0,1.0,21.0,21.0,0.0,0.0,0.0,0.22347784042358398
-34.0,4.0,99.0,57.0,18.0,20.0,4.0,1.0506112575531006
-118.0,1.0,210.0,199.0,4.0,4.0,3.0,2.232877016067505
-140.0,2.0,223.0,123.0,46.0,44.0,10.0,2.3805148601531982
20.0,5.0,36.0,36.0,0.0,0.0,0.0,0.3841369152069092
69.0,0.0,32.0,24.0,3.0,5.0,0.0,0.3425450325012207
36.0,4.0,29.0,29.0,0.0,0.0,0.0,0.3097860813140869
39.0,2.0,44.0,32.0,7.0,3.0,2.0,0.4704139232635498
31.0,1.0,61.0,54.0,3.0,3.0,1.0,0.6521821022033691
48.0,2.0,35.0,35.0,0.0,0.0,0.0,0.3748199939727783
87.0,0.0,14.0,14.0,0.0,0.0,0.0,0.14993691444396973
-36.0,3.0,110.0,108.0,2.0,0.0,0.0,1.1961491107940674
72.0,1.0,20.0,20.0,0.0,0.0,0.0,0.21396613121032715
84.0,0.0,17.0,16.0,1.0,0.0,0.0,0.1865978240966797
85.0,0.0,16.0,16.0,0.0,0.0,0.0,0.17660903930664062
-7.0,1.0,99.0,99.0,0.0,0.0,0.0,1.082977056503296
88.0,0.0,13.0,13.0,0.0,0.0,0.0,0.14265227317810059
23.0,2.0,60.0,55.0,3.0,2.0,0.0,0.6555130481719971
76.0,1.0,16.0,16.0,0.0,0.0,0.0,0.17456531524658203
81.0,0.0,20.0,20.0,0.0,0.0,0.0,0.2194061279296875
84.0,0.0,17.0,17.0,0.0,0.0,0.0,0.18664026260375977
86.0,0.0,15.0,14.0,0.0,1.0,0.0,0.1643657684326172
46.0,1.0,46.0,43.0,1.0,2.0,0.0,0.5018219947814941
60.0,2.0,23.0,23.0,0.0,0.0,0.0,0.2504289150238037
-39.0,1.0,131.0,54.0,30.0,36.0,11.0,1.4340312480926514
87.0,0.0,14.0,14.0,0.0,0.0,0.0,0.15328407287597656
