total_reward,steps_river,path_length,counts_0miss,counts_1miss,counts_2miss,counts_3miss,wall_clock_time
-306.0,4.0,371.0,153.0,80.0,106.0,32.0,4.146818161010742
-58.0,11.0,60.0,47.0,4.0,7.0,2.0,0.709716796875
-253.0,33.0,57.0,57.0,0.0,0.0,0.0,0.6766610145568848
-38.0,10.0,49.0,49.0,0.0,0.0,0.0,0.5953328609466553
59.0,3.0,15.0,15.0,0.0,0.0,0.0,0.1791517734527588
71.0,2.0,12.0,12.0,0.0,0.0,0.0,0.14368367195129395
82.0,1.0,10.0,10.0,0.0,0.0,0.0,0.12053298950195312
71.0,1.0,21.0,21.0,0.0,0.0,0.0,0.25140976905822754
-34.0,4.0,99.0,57.0,18.0,20.0,4.0,1.226132869720459
-118.0,1.0,210.0,199.0,4.0,4.0,3.0,2.5571367740631104
-140.0,2.0,223.0,123.0,46.0,44.0,10.0,2.529099941253662
20.0,5.0,36.0,36.0,0.0,0.0,0.0,0.3908109664916992
69.0,0.0,32.0,24.0,3.0,5.0,0.0,0.3456079959869385
36.0,4.0,29.0,29.0,0.0,0.0,0.0,0.3155391216278076
39.0,2.0,44.0,32.0,7.0,3.0,2.0,0.4976997375488281
31.0,1.0,61.0,54.0,3.0,3.0,1.0,0.7260971069335938
48.0,2.0,35.0,35.0,0.0,0.0,0.0,0.41569089889526367
87.0,0.0,14.0,14.0,0.0,0.0,0.0,0.16307711601257324
-36.0,3.0,110.0,108.0,2.0,0.0,0.0,1.2351679801940918
72.0,1.0,20.0,20.0,0.0,0.0,0.0,0.2236189842224121
84.0,0.0,17.0,16.0,1.0,0.0,0.0,0.1964092254638672
85.0,0.0,16.0,16.0,0.0,0.0,0.0,0.180344820022583
-7.0,1.0,99.0,99.0,0.0,0.0,0.0,1.1369400024414062
88.0,0.0,13.0,13.0,0.0,0.0,0.0,0.1556107997894287
23.0,2.0,60.0,55.0,3.0,2.0,0.0,0.7000031471252441
76.0,1.0,16.0,16.0,0.0,0.0,0.0,0.18257403373718262
81.0,0.0,20.0,20.0,0.0,0.0,0.0,0.2271101474761963
84.0,0.0,17.0,17.0,0.0,0.0,0.0,0.19020581245422363
86.0,0.0,15.0,14.0,0.0,1.0,0.0,0.1674330234527588
46.0,1.0,46.0,43.0,1.0,2.0,0.0,0.5166637897491455
60.0,2.0,23.0,23.0,0.0,0.0,0.0,0.2568490505218506
-39.0,1.0,131.0,54.0,30.0,36.0,11.0,1.4753930568695068
87.0,0.0,14.0,14.0,0.0,0.0,0.0,0.15607190132141113
36.0,3.0,38.0,37.0,0.0,1.0,0.0,0.4250969886779785
63.0,2.0,20.0,20.0,0.0,0.0,0.0,0.22324395179748535
85.0,0.0,16.0,16.0,0.0,0.0,0.0,0.17888712882995605
86.0,0.0,15.0,15.0,0.0,0.0,0.0,0.16886305809020996
74.0,0.0,27.0,27.0,0.0,0.0,0.0,0.30290985107421875
67.0,1.0,25.0,19.0,3.0,2.0,1.0,0.2802867889404297
87.0,0.0,14.0,14.0,0.0,0.0,0.0,0.15695786476135254
78.0,1.0,14.0,14.0,0.0,0.0,0.0,0.1568591594696045
53.0,1.0,39.0,31.0,4.0,3.0,1.0,0.43686509132385254
67.0,1.0,25.0,25.0,0.0,0.0,0.0,0.27875614166259766
75.0,1.0,17.0,17.0,0.0,0.0,0.0,0.1903688907623291
40.0,1.0,52.0,38.0,7.0,5.0,2.0,0.5822551250457764
-80.0,6.0,127.0,119.0,4.0,3.0,1.0,1.4294836521148682
-8.0,2.0,91.0,56.0,14.0,20.0,1.0,1.0227341651916504
37.0,0.0,64.0,50.0,7.0,5.0,2.0,0.7177801132202148
29.0,1.0,63.0,54.0,4.0,3.0,2.0,0.7148339748382568
-14.0,1.0,106.0,81.0,5.0,15.0,5.0,1.1939349174499512
69.0,0.0,32.0,23.0,5.0,3.0,1.0,0.3587148189544678
10.0,2.0,73.0,28.0,19.0,19.0,7.0,0.8218040466308594
19.0,1.0,73.0,53.0,8.0,9.0,3.0,0.8215811252593994
-1.0,3.0,75.0,46.0,16.0,7.0,6.0,0.852017879486084
70.0,2.0,13.0,13.0,0.0,0.0,0.0,0.14529895782470703
43.0,1.0,49.0,37.0,4.0,7.0,1.0,0.5492339134216309
4.0,3.0,70.0,36.0,13.0,15.0,6.0,0.7854762077331543
33.0,1.0,59.0,56.0,0.0,2.0,1.0,0.6618051528930664
59.0,0.0,42.0,37.0,1.0,2.0,2.0,0.4712259769439697
54.0,1.0,38.0,22.0,6.0,9.0,1.0,0.4302859306335449
16.0,0.0,85.0,75.0,3.0,5.0,2.0,0.9648301601409912
54.0,0.0,47.0,40.0,3.0,3.0,1.0,0.5317630767822266
